dataset,pipeline,run_label,run_short,item_id,community_id,superclaim,ann_a_is_narr,ann_a_label_match,ann_a_confidence,ann_b_is_narr,ann_b_label_match,ann_b_confidence,merged_a,merged_b
co,cluster,co_harm_persona,cp,hle_1,0,Williams Rocky Mountain Midstream provides critical energy infrastructure that ensures regional reliability and operational stability.,yes,"Pragmatism/Pragmatic Energy mix. Portrays oil and gas as essential, reliable, affordable, and safe energy sources critical for maintaining power systems",4,no,,,match,no
co,cluster,co_harm_persona,cp,hle_10,3,The Great Lakes Tunnel is the most effective solution for protecting the environment and eliminating oil spill risks.,yes,"Other (in-domain, no match)",3,yes,Green Innovation and Climate Solutions. Promotes 'clean' or 'green' fossil fuels as part of climate solutions,3,other,match
co,cluster,co_harm_persona,cp,hle_100,33,Williams operates as a responsible corporate citizen through environmental stewardship and community partnership.,yes,"Community & Resilience. Emphasizes how the oil and gas sector contributes to local and national economies through tax revenues, charitable efforts, and support for local businesses",4,yes,"Other (in-domain, no match)",3,match,other
co,cluster,co_harm_persona,cp,hle_101,34,Corporate investment in diversified renewable infrastructure is the primary driver of the clean energy transition.,yes,"Other (in-domain, no match)",2,yes,Green Innovation and Climate Solutions. Promotes 'clean' or 'green' fossil fuels as part of climate solutions,5,other,match
co,cluster,co_harm_persona,cp,hle_102,34,The transition to sustainable energy requires balancing innovative growth with core operational values of safety and reliability.,no,,,yes,"Pragmatism/Pragmatic Energy mix. Portrays oil and gas as essential, reliable, affordable, and safe energy sources critical for maintaining power systems",5,no,match
co,cluster,co_harm_persona,cp,hle_103,34,Expert-led development of cleaner fuel alternatives is necessary for the future of sustainable transportation.,no,,,yes,"Pragmatism/Pragmatic Energy mix. Portrays oil and gas as essential, reliable, affordable, and safe energy sources critical for maintaining power systems",5,no,match
co,cluster,co_harm_persona,cp,hle_104,35,Major energy companies are committed to achieving net-zero carbon emissions by 2050.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_105,35,A phased transition combining immediate short-term reductions and long-term goals is the most feasible path to net-zero.,no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_106,35,"Practical, fact-based operational improvements and collaborative partnerships are effective tools for reducing greenhouse gas emissions.",no,,,no,,,no,no
co,cluster,co_harm_persona,cp,hle_107,36,The United States produces fossil fuels with a lower environmental impact than any other major exporting nation.,yes,Green Innovation and Climate Solutions. Promotes 'clean' or 'green' fossil fuels as part of climate solutions,3,yes,"Patriotic Energy mix. Stresses how domestic oil and gas production benefits the nation, including energy independence, energy leadership, and the idea of supporting American energy",5,match,match
co,cluster,co_harm_persona,cp,hle_108,36,U.S. leadership in fossil fuel production is a primary driver of global greenhouse gas emissions reduction.,yes,"Other (in-domain, no match)",3,yes,Green Innovation and Climate Solutions. Promotes 'clean' or 'green' fossil fuels as part of climate solutions,5,other,match
co,cluster,co_harm_persona,cp,hle_109,36,The United States has successfully decoupled increased energy production from the growth of greenhouse gas emissions.,yes,"Other (in-domain, no match)",3,no,,,other,no
